id,ACTION
1,0.926740
2,0.977889
3,0.996483
4,0.995361
5,0.999284
6,0.995921
7,0.959211
8,0.999857
9,0.925926
10,0.971950
11,0.974020
12,0.977631
13,0.992125
14,0.801921
15,0.946624
16,0.958599
17,0.620580
18,0.820245
19,0.997776
20,0.996344
21,0.999201
22,0.992322
23,0.975997
24,0.978515
25,0.995002
26,0.949373
27,0.992827
28,0.985480
29,0.983727
30,0.915121
31,0.993144
32,0.984884
33,0.992724
34,0.995126
35,0.991769
36,0.987915
37,0.991659
38,0.999773
39,0.991236
40,0.966050
41,0.952032
42,0.994708
43,0.990620
44,0.994764
45,0.995447
46,0.987937
47,0.998958
48,0.984520
49,0.999937
50,0.998142
51,0.987485
52,0.994568
53,0.987216
54,0.997052
55,0.988160
56,0.993110
57,0.989035
58,0.999289
59,0.993863
60,0.992237
61,0.996508
62,0.998164
63,0.985478
64,0.997917
65,0.998598
66,0.987671
67,0.989492
68,0.998310
69,0.990442
70,0.728111
71,0.985262
72,0.986685
73,0.996665
74,0.998297
75,0.990351
76,0.998411
77,0.997984
78,0.967036
79,0.688494
80,0.998700
81,0.999553
82,0.996235
83,0.965203
84,0.996320
85,0.990856
86,0.960460
87,0.978554
88,0.998138
89,0.994919
90,0.857808
91,0.992567
92,0.791630
93,0.996528
94,0.987395
95,0.991391
96,0.998549
97,0.465763
98,0.998257
99,0.993144
100,0.997687
101,0.978917
102,0.354741
103,0.996250
104,0.989391
105,0.478852
106,0.996084
107,0.999125
108,0.976595
109,0.991408
110,0.982841
111,0.843688
112,0.981023
113,0.984332
114,0.999132
115,0.979534
116,0.972763
117,0.989940
118,0.956420
119,0.999232
120,0.986071
121,0.952975
122,0.990439
123,0.900829
124,0.997170
125,0.990413
126,0.839464
127,0.799167
128,0.955562
129,0.934220
130,0.995228
131,0.997350
132,0.998026
133,0.992339
134,0.909231
135,0.998693
136,0.965585
137,0.997339
138,0.936375
139,0.960027
140,0.998496
141,0.998411
142,0.970844
143,0.995495
144,0.995907
145,0.999486
146,0.707678
147,0.782189
148,0.820006
149,0.999095
150,0.990457
151,0.998226
152,0.858554
153,0.994882
154,0.960881
155,0.976314
156,0.968497
157,0.992673
158,0.990786
159,0.976461
160,0.971643
161,0.956968
162,0.996831
163,0.998457
164,0.978354
165,0.990896
166,0.999420
167,0.975514
168,0.992053
169,0.988730
170,0.996197
171,0.997385
172,0.991027
173,0.964238
174,0.995234
175,0.991205
176,0.999263
177,0.960402
178,0.994248
179,0.999468
180,0.926613
181,0.676198
182,0.987792
183,0.944403
184,0.920506
185,0.990317
186,0.973800
187,0.997918
188,0.987417
189,0.614668
190,0.991907
191,0.999334
192,0.996493
193,0.997729
194,0.995273
195,0.965892
196,0.997669
197,0.993119
198,0.976790
199,0.993331
200,0.880164
201,0.996377
202,0.990533
203,0.957313
204,0.993453
205,0.999118
206,0.989226
207,0.995324
208,0.987429
209,0.667401
210,0.773693
211,0.959744
212,0.992716
213,0.998196
214,0.982830
215,0.992123
216,0.910956
217,0.952948
218,0.997224
219,0.994807
220,0.977322
221,0.447021
222,0.999343
223,0.999326
224,0.992607
225,0.960664
226,0.786209
227,0.972593
228,0.990765
229,0.998661
230,0.995408
231,0.983514
232,0.956784
233,0.968820
234,0.114987
235,0.907860
236,0.965545
237,0.969713
238,0.984242
239,0.911523
240,0.998466
241,0.983125
242,0.752058
243,0.479962
244,0.991914
245,0.986846
246,0.999286
247,0.982807
248,0.985326
249,0.988821
250,0.997697
251,0.996631
252,0.963125
253,0.998709
254,0.998797
255,0.998951
256,0.976620
257,0.988739
258,0.942887
259,0.989601
260,0.998613
261,0.992617
262,0.969564
263,0.993893
264,0.997888
265,0.997896
266,0.991480
267,0.981621
268,0.996891
269,0.985924
270,0.995641
271,0.995554
272,0.974962
273,0.995140
274,0.610946
275,0.998103
276,0.921012
277,0.996738
278,0.999117
279,0.987165
280,0.946149
281,0.999635
282,0.998947
283,0.944903
284,0.949089
285,0.997587
286,0.992270
287,0.999541
